email,password,password_confirmation,reset_password_token,reset_password_sent_at,first_name,last_name,bio,linked_in,twitter
zwick@foo.com,1q2w3e,1q2w3e,,,Anibal,Zwick,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
weatherby@foo.com,1q2w3e,1q2w3e,,,Velia,Weatherby,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
rao@foo.com,1q2w3e,1q2w3e,,,Kate,Rao,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
kell@foo.com,1q2w3e,1q2w3e,,,Cinderella,Kell,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
mercier@foo.com,1q2w3e,1q2w3e,,,Georgiana,Mercier,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
benfield@foo.com,1q2w3e,1q2w3e,,,Fran,Benfield,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
chavarin@foo.com,1q2w3e,1q2w3e,,,Karoline,Chavarin,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
chesney@foo.com,1q2w3e,1q2w3e,,,Krystyna,Chesney,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
swedberg@foo.com,1q2w3e,1q2w3e,,,Valeria,Swedberg,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
lindgren@foo.com,1q2w3e,1q2w3e,,,Lindy,Lindgren,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
evers@foo.com,1q2w3e,1q2w3e,,,Theresa,Evers,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
kruger@foo.com,1q2w3e,1q2w3e,,,Thanh,Kruger,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
lindblad@foo.com,1q2w3e,1q2w3e,,,Shellie,Lindblad,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
gray@foo.com,1q2w3e,1q2w3e,,,Collin,Gray,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
hennessey@foo.com,1q2w3e,1q2w3e,,,Chelsie,Hennessey,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
villalba@foo.com,1q2w3e,1q2w3e,,,Myrtle,Villalba,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,https://twitter.com/sadiqscientist
roesch@foo.com,1q2w3e,1q2w3e,,,Mitsue,Roesch,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
pulley@foo.com,1q2w3e,1q2w3e,,,Anton,Pulley,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,
beer@foo.com,1q2w3e,1q2w3e,,,Felicidad,Beer,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
spanos@foo.com,1q2w3e,1q2w3e,,,Enid,Spanos,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,,
krishnan@foo.com,1q2w3e,1q2w3e,,,Edward,Krishnan,I've been practicing yoga for over 30 years and teaching for 15 years. Recently went back to school and got certified! I do gentle - to - moderate yoga suitable for beginners and intermediate. I can also help with breathing and relaxation techniques.,https://www.linkedin.com/in/sabah-sadiq-31b0118/,https://twitter.com/sadiqscientist
